Name;Team;Competition;Nationality;Age;Primary Position;Secondary Position;Minutes Played;finishing;dribbling;passing;creation;defending;pressing;overall;overall_global;overall_league_adjusted
Martin Braithwaite;Barcelona;La Liga;Denmark;29;Centre Forward;Left Wing;1297,5333;21,39674758;32,70567167;43,20298374;25,41389471;30,23913025;44,05506217;50,01312473;43,22479628;45,48866039
Hwang Ui-jo;Bordeaux;Ligue 1;South Korea;28;Centre Forward;Left Midfielder;2605,2;32,7343107;24,39419247;35,59623056;12,99272097;16,39734203;36,59417921;45,25608921;43,17015331;40,88803998
Lewis Grabban;Nottingham Forest;Championship;England;33;Centre Forward;Left Centre Forward;2039,8501;21,92407577;30,87981814;36,74181861;16,22395861;14,43992371;32,05461518;43,33224257;43,14427463;38,59333326
Jamie Allen;Coventry City;Championship;England;26;Right Wing;Right Defensive Midfielder;1432,4166;22,2395588;24,51161514;40,09715785;4,120395935;20,88492631;48,05490938;39,95182849;43,11720531;38,56911927
Sébastien Haller;West Ham United;Premier League;France;26;Centre Forward;Left Centre Forward;1013,5;31,31993448;30,6574497;30,41307615;19,80839388;24,83633895;31,21477431;48,56029645;43,1123005;45,37027273
Ryan Giles;Coventry City;Championship;England;21;Left Wing Back;Right Wing;1462,85;0,016681878;33,81830628;37,90900184;30,21891382;54,69881508;19,44695663;37,42627428;43,10216136;38,55566218
Henk Veerman;SC Heerenveen;Eredivisie;Netherlands;27;Centre Forward;Right Centre Forward;2792,8496;39,42931308;24,21826621;25,57989802;20,38051336;23,54098299;28,45238406;48,03151947;43,06205209;31,72217482
Przemysław Płacheta;Norwich City;Championship;Poland;23;Left Wing;Right Wing;1245,1833;7,701337294;26,50769993;44,47986896;19,80732701;30,93730646;71,73183263;40,86251019;43,03077486;38,49180566
Mason Bennett;Millwall;Championship;England;24;Left Wing;Left Centre Forward;2418,683;30,77674558;28,40599133;29,78136952;13,58740405;21,29409131;42,60815821;46,43803033;42,93237775;38,40378767
Musa Barrow;Bologna;Serie A;Gambia;22;Left Wing;Centre Forward;3059,9004;24,12844699;25,71000904;43,27737825;20,25757037;17,25120867;41,95911473;45,15812154;42,92990103;40,66048822
Marcus Ingvartsen;Union Berlin;1. Bundesliga;Denmark;25;Left Centre Midfielder;Left Wing;2070,2166;19,96483992;23,12581141;33,23648692;13,83168778;45,97460453;36,52445303;38,97291915;42,91209704;38,38564621
Callum Paterson;Sheffield Wednesday;Championship;Scotland;26;Right Centre Forward;Centre Forward;3162,8171;40,76811454;27,21353005;15,867452;9,70865048;31,40534258;37,64770184;47,61808773;42,8845158;38,36097429
Barbero;Alcorcón;La Liga 2;Spain;22;Centre Forward;Right Centre Forward;1241,7333;22,35646434;29,19327852;29,38454157;15,78874238;29,68999418;54,59844758;44,51924711;42,83303548;31,553467
Ola John;RKC Waalwijk;Eredivisie;Netherlands;29;Left Wing;Centre Forward;1117,4667;21,17132274;43,84262875;41,50343776;15,97082363;23,87112469;24,3619845;51,24075929;42,81719122;31,54179514
